YEAR,MONTH,Carrier,ORIGIN,DEST,carrierTotalFlights,route_total_flights,n_carriers,HHI,carrierHubShare,carrierRouteShare,depDelay_rate,arrDelay_rate,cancel_rate,sd_dep_time,peak_dep_Count,peak_dep_share,YEAR_MONTH_id,route_id,carrier_route_id
2020,9,UA_CODESHARE,BUR,SFO,30,90,2,0.5555555555555555,0.06030150753768844,0.3333333333333333,0.03333333333333333,0.06666666666666667,0,148.68252453953113,29,0.9666666666666668,2020_9,BUR_SFO,UA_CODESHARE_BUR_SFO
2020,3,B6,SEA,JFK,58,247,3,0.3480961825304463,0.01140684410646387,0.23481781376518215,0.06896551724137931,0.06896551724137931,0.22413793103448276,488.2742005773958,20,0.4444444444444444,2020_3,SEA_JFK,B6_SEA_JFK
2023,12,DL_CODESHARE,AVL,ATL,32,181,2,0.70892219407222,0.08257804632426989,0.17679558011049723,0.21875,0.09375,0,318.6722201117753,26,0.8125,2023_12,AVL_ATL,DL_CODESHARE_AVL_ATL
2023,9,WN,SMF,SLC,30,174,3,0.439820319725195,0.5637082601054482,0.1724137931034483,0.1,0.13333333333333333,0,186.72696891327783,30,1,2023_9,SMF_SLC,WN_SMF_SLC
2023,3,G4,LAS,EUG,18,49,2,0.5351936693044564,0.04762503932054105,0.3673469387755102,0.3888888888888889,0.3333333333333333,0,199.44033622218524,18,1,2023_3,LAS_EUG,G4_LAS_EUG
2022,4,WN,PHX,IND,57,116,2,0.5001486325802617,0.33656843298384814,0.4913793103448276,0.47368421052631576,0.42105263157894735,0.0175438596491228,522.0147006811903,30,0.5357142857142857,2022_4,PHX_IND,WN_PHX_IND
2020,4,DL_CODESHARE,SLC,SMF,28,116,3,0.38406658739595717,0.3473926380368098,0.2413793103448276,0.03571428571428571,0.03571428571428571,0.17857142857142858,37.76299085428575,23,1,2020_4,SLC_SMF,DL_CODESHARE_SLC_SMF
2025,11,AA_CODESHARE,ORF,MIA,26,58,2,0.5053507728894174,0.2771144278606965,0.4482758620689655,0.1153846153846154,0.15384615384615383,0.03846153846153846,20.410128204725545,0,0,2025_11,ORF_MIA,AA_CODESHARE_ORF_MIA
2025,5,UA,ROC,ORD,39,241,3,0.3926413112721888,0.04317548746518106,0.16182572614107885,0.1282051282051282,0.2307692307692308,0,435.75865406024246,12,0.3076923076923077,2025_5,ROC_ORD,UA_ROC_ORD
2022,8,AA,RNO,PHX,91,182,3,0.48925250573602225,0.11486118671747414,0.5,0.16483516483516483,0.1978021978021978,0.02197802197802198,449.27653909389016,60,0.6741573033707865,2022_8,RNO_PHX,AA_RNO_PHX
2023,2,AA,GSO,DFW,56,56,1,1,0.1364124597207304,1,0.16071428571428573,0.16071428571428573,0.07142857142857142,503.5005496963183,32,0.6153846153846154,2023_2,GSO_DFW,AA_GSO_DFW
2020,1,G4,SFB,CKB,10,10,1,1,1,1,0.1,0.1,0,247.9158683460536,9,0.9,2020_1,SFB_CKB,G4_SFB_CKB
2021,3,UA,DEN,ORF,31,49,2,0.5351936693044564,0.231758619022291,0.6326530612244898,0.16129032258064516,0.2258064516129032,0.06451612903225806,30.4784103512133,29,1,2021_3,DEN_ORF,UA_DEN_ORF
2021,11,WN,OKC,MDW,30,30,1,1,0.23365008384572383,1,0.13333333333333333,0.06666666666666667,0,237.2283176870832,30,1,2021_11,OKC_MDW,WN_OKC_MDW
2020,1,WN,SAN,SJC,454,583,3,0.6325035526304176,0.4208944006012777,0.7787307032590052,0.06387665198237885,0.06828193832599119,0.0198237885462555,474.4352202529011,328,0.7370786516853932,2020_1,SAN_SJC,WN_SAN_SJC
2025,5,UA,SAN,EWR,108,137,2,0.6662581916990783,0.10596647520806472,0.7883211678832117,0.2962962962962963,0.2962962962962963,0.02777777777777777,598.215489424973,46,0.4339622641509434,2025_5,SAN_EWR,UA_SAN_EWR
2020,7,AA,PHX,PHL,141,141,1,1,0.2819770806806343,1,0.02836879432624113,0.04964539007092199,0,559.0802032423862,109,0.7730496453900709,2020_7,PHX_PHL,AA_PHX_PHL
2023,10,WN,LAX,SJC,177,445,4,0.3136725160964524,0.15177045896423733,0.397752808988764,0.2542372881355932,0.2090395480225989,0,507.6583123728126,114,0.6440677966101694,2023_10,LAX_SJC,WN_LAX_SJC
2022,9,UA_CODESHARE,DSM,IAH,56,60,2,0.8755555555555554,0.13191489361702127,0.9333333333333332,0.125,0.125,0,442.4243918823504,30,0.5357142857142857,2022_9,DSM_IAH,UA_CODESHARE_DSM_IAH
2023,8,AA,DEN,ORD,91,578,3,0.4086577028531746,0.02712324744916685,0.157439446366782,0.16483516483516483,0.1978021978021978,0,413.66767790238055,61,0.6703296703296703,2023_8,DEN_ORD,AA_DEN_ORD
2025,3,AS_CODESHARE,PDX,FAT,31,31,1,1,0.2859609739250561,1,0.0967741935483871,0.12903225806451613,0,55.17115110253269,0,0,2025_3,PDX_FAT,AS_CODESHARE_PDX_FAT
2022,4,WN,BDL,FLL,1,88,3,0.5870351239669421,0.12605832549388524,0.01136363636363636,0,0,1,NA,0,NA,2022_4,BDL_FLL,WN_BDL_FLL
2022,9,AA_CODESHARE,MLB,CLT,83,83,1,1,0.453551912568306,1,0.07228915662650602,0.08433734939759036,0.10843373493975904,457.3623752350392,48,0.6486486486486487,2022_9,MLB_CLT,AA_CODESHARE_MLB_CLT
2021,7,G4,AZA,OMA,9,9,1,1,1,1,0.4444444444444444,0.4444444444444444,0,283.6418418436258,9,1,2021_7,AZA_OMA,G4_AZA_OMA
2023,3,AA,IND,MIA,31,59,3,0.42545245619074984,0.12225548902195608,0.5254237288135594,0.12903225806451613,0.1935483870967742,0,254.8475150241385,2,0.06451612903225806,2023_3,IND_MIA,AA_IND_MIA
2024,6,G4,BNA,GRR,17,25,2,0.5648,0.0321146794088232,0.68,0.29411764705882354,0.29411764705882354,0,337.0265415451465,16,0.9411764705882352,2024_6,BNA_GRR,G4_BNA_GRR
2021,8,AA,RDU,PHX,31,62,2,0.5,0.1451036454610436,0.5,0.1935483870967742,0.0967741935483871,0.03225806451612903,38.282014624078506,30,1,2021_8,RDU_PHX,AA_RDU_PHX
2021,1,AS,MKE,SEA,4,27,2,0.7475994513031551,0.00283687943262411,0.14814814814814814,0.5,0,0,81.26653677867662,3,0.75,2021_1,MKE_SEA,AS_MKE_SEA
2025,4,AS,TPA,SEA,57,87,2,0.5481569560047563,0.01233383582294093,0.6551724137931034,0.21052631578947367,0.24561403508771928,0,554.9060889410565,54,0.9473684210526316,2025_4,TPA_SEA,AS_TPA_SEA
2020,4,AA_CODESHARE,DFW,TYR,84,84,1,1,0.4797405766390548,1,0.0238095238095238,0.03571428571428571,0.35714285714285715,455.8430348295314,33,0.5892857142857143,2020_4,DFW_TYR,AA_CODESHARE_DFW_TYR
2022,4,F9,MCO,STT,14,34,2,0.5155709342560554,0.13892445582586427,0.4117647058823529,0.5,0.42857142857142855,0,100.48762976736856,14,1,2022_4,MCO_STT,F9_MCO_STT
2022,6,G4,LCK,PIE,18,18,1,1,1,1,0.3333333333333333,0.5,0,331.7100917477795,18,1,2022_6,LCK_PIE,G4_LCK_PIE
2025,6,DL_CODESHARE,DTW,TYS,84,84,1,1,0.33044573948653333,1,0.30952380952380953,0.369047619047619,0.0238095238095238,464.431068679684,58,0.7073170731707317,2025_6,DTW_TYS,DL_CODESHARE_DTW_TYS
2020,3,UA_CODESHARE,IAD,DAY,65,65,1,1,0.5451561930229731,1,0.06153846153846154,0.06153846153846154,0.2307692307692308,272.95670659185015,49,0.98,2020_3,IAD_DAY,UA_CODESHARE_IAD_DAY
2022,10,NK,LAX,BNA,31,181,4,0.2751747504654925,0.06231884057971015,0.1712707182320442,0.16129032258064516,0.16129032258064516,0.03225806451612903,75.30817146668198,24,0.8,2022_10,LAX_BNA,NK_LAX_BNA
2021,12,AA_CODESHARE,DCA,ECP,31,31,1,1,0.42653621695846206,1,0.16129032258064516,0.16129032258064516,0,60.94614227385123,31,1,2021_12,DCA_ECP,AA_CODESHARE_DCA_ECP
2024,4,UA_CODESHARE,HOB,DEN,30,30,1,1,1,1,0.13333333333333333,0.1,0,168.89715295368975,30,1,2024_4,HOB_DEN,UA_CODESHARE_HOB_DEN
2020,5,WN,OAK,STL,1,1,1,1,0.89117199391172,1,0,0,1,NA,0,NA,2020_5,OAK_STL,WN_OAK_STL
2022,7,UA_CODESHARE,ORD,SDF,93,180,2,0.5005555555555556,0.24437014833602336,0.5166666666666667,0.10752688172043012,0.12903225806451613,0.01075268817204301,399.5136979079111,88,0.9565217391304348,2022_7,ORD_SDF,UA_CODESHARE_ORD_SDF
2024,8,UA_CODESHARE,IAH,SHV,118,118,1,1,0.3863375042272574,1,0.17796610169491525,0.11864406779661016,0,384.7943775879829,87,0.7372881355932204,2024_8,IAH_SHV,UA_CODESHARE_IAH_SHV
2025,5,DL,SLC,IAH,87,177,3,0.38931979954674584,0.47744851833249624,0.4915254237288136,0.20689655172413793,0.2413793103448276,0,464.7137285528369,80,0.9195402298850576,2025_5,SLC_IAH,DL_SLC_IAH
2023,1,F9,STL,MCO,31,195,3,0.5157396449704142,0.02110128617363344,0.15897435897435896,0.3548387096774194,0.3225806451612903,0.03225806451612903,454.6365530864174,3,0.1,2023_1,STL_MCO,F9_STL_MCO
2022,11,AA_CODESHARE,PHL,DAY,26,26,1,1,0.3189920098340504,1,0.07692307692307693,0.1153846153846154,0,196.33688865354324,24,0.9230769230769232,2022_11,PHL_DAY,AA_CODESHARE_PHL_DAY
2022,2,G4,SFB,MCI,8,8,1,1,1,1,0.125,0.125,0.125,162.447647244391,2,0.2857142857142857,2022_2,SFB_MCI,G4_SFB_MCI
2025,1,G4,SFB,SBN,18,18,1,1,1,1,0.5,0.5,0,358.1968321862092,15,0.8333333333333334,2025_1,SFB_SBN,G4_SFB_SBN
2025,6,DL_CODESHARE,LAX,SMF,144,487,6,0.2335085951368012,0.05912881217563706,0.29568788501026694,0.09722222222222222,0.0763888888888889,0,386.8967123102799,143,0.9930555555555556,2025_6,LAX_SMF,DL_CODESHARE_LAX_SMF
2022,9,DL,ATL,STX,4,4,1,1,0.6603011661697551,1,0.25,0.25,0.25,169.14195221765652,3,1,2022_9,ATL_STX,DL_ATL_STX
2024,4,G4,BIL,LAS,9,9,1,1,0.06683804627249357,1,0.3333333333333333,0.2222222222222222,0,113.50110131624275,9,1,2024_4,BIL_LAS,G4_BIL_LAS
