YEAR,HHI_Tier,Unique_Routes,Mean_Delay_Rate,Mean_Cancel_Rate,Mean_Route_Share
2020,Moderately Concentrated (0.15 - 0.24),57,0.08620836910247445,0.04844231216461252,0.17118512780790085
2020,Highly Concentrated (0.25 - 0.99),2610,0.0841887898715083,0.07604465797727498,0.3948859538870459
2020,Pure Monopoly (= 1.0),5966,0.09006537467084011,0.08462395625894074,1
2021,Highly Competitive (< 0.15),4,0.21791116144886474,0.014316070811908435,0.10285714285714286
2021,Moderately Concentrated (0.15 - 0.24),75,0.1655049635603331,0.013217845125435848,0.16715758468335787
2021,Highly Concentrated (0.25 - 0.99),2806,0.17524365031077804,0.01837811535336915,0.38685514664066945
2021,Pure Monopoly (= 1.0),5702,0.18497927209868878,0.02348104685671433,1
2022,Highly Competitive (< 0.15),2,0.1551018680321808,0.012168166785356668,0.09836065573770492
2022,Moderately Concentrated (0.15 - 0.24),70,0.19124252983887888,0.020616662998292748,0.1689075630252101
2022,Highly Concentrated (0.25 - 0.99),2924,0.21671760821351385,0.02828670179562108,0.387777628615325
2022,Pure Monopoly (= 1.0),5335,0.22026610151434858,0.03010319836946277,1
2023,Highly Competitive (< 0.15),2,0.24303045024730086,0.02717881633956418,0.1111111111111111
2023,Moderately Concentrated (0.15 - 0.24),80,0.20461191965766906,0.009732738589807511,0.17307692307692307
2023,Highly Concentrated (0.25 - 0.99),2925,0.21160113282263557,0.013133691501447635,0.39215171024394513
2023,Pure Monopoly (= 1.0),4925,0.1964479455504634,0.01149354433794313,1
2024,Moderately Concentrated (0.15 - 0.24),72,0.2085093647318241,0.009291384604906649,0.16767021769337656
2024,Highly Concentrated (0.25 - 0.99),3054,0.2049707590990045,0.014689407516548035,0.3884596949276792
2024,Pure Monopoly (= 1.0),5137,0.19589366395595867,0.014238458677367952,1
2025,Moderately Concentrated (0.15 - 0.24),52,0.19988704953009367,0.007931998201770738,0.1618828932261768
2025,Highly Concentrated (0.25 - 0.99),3110,0.2165494337107214,0.014856261352464225,0.3845161467411443
2025,Pure Monopoly (= 1.0),5342,0.209542242262008,0.013095249915719337,1
